Building custom linters...
Running custom linters (largefunc max-lines=60)...
/home/runner/work/gh-aw/gh-aw/pkg/cli/mcp_inspect_inspector.go:65:6: defer inside a loop does not execute at the end of each iteration; it runs when the enclosing function returns, which can cause resource leaks
/home/runner/work/gh-aw/gh-aw/pkg/cli/add_workflow_compilation.go:157:6: compileSafeOutputsWorkflowDependencies has 10 parameters (limit: 8); consider using an options struct
/home/runner/work/gh-aw/gh-aw/pkg/cli/docker_images.go:261:6: CheckAndPrepareDockerImages has 9 parameters (limit: 8); consider using an options struct
/home/runner/work/gh-aw/gh-aw/pkg/cli/run_interactive.go:31:6: RunWorkflowInteractively has 9 parameters (limit: 8); consider using an options struct
/home/runner/work/gh-aw/gh-aw/pkg/cli/grant.go:152:25: hard-coded file path "/tmp/gh-aw-grant-policy.yaml": consider extracting as a named constant
/home/runner/work/gh-aw/gh-aw/pkg/parser/remote_download_file.go:383:6: downloadFileViaGitClone is 68 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/antigravity_engine.go:155:29: GetExecutionSteps is 204 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/auto_update_workflow.go:70:6: GenerateAutoUpdateWorkflow is 65 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/auto_update_workflow.go:164:6: buildAutoUpdateWorkflowYAML is 66 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/awf_config.go:421:6: BuildAWFConfigJSON is 284 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/awf_helpers.go:229:6: BuildAWFCommand is 377 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/awf_helpers.go:630:6: BuildAWFArgs is 168 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/awf_helpers.go:930:6: ComputeAWFExcludeEnvVarNames is 78 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/behavior_defined_engine.go:260:33: GetExecutionSteps is 144 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/cache.go:515:6: generateCacheMemorySteps is 88 lines long (limit: 60); consider breaking it up
